name,ra,dec,field,z
"WHLJ010455.4+000336",16.22680434214712,0.062251588619938764,"STRIPE82-0024",0.2767
"WHLJ010455.4+000336",16.228973847152528,0.06256547709370192,"STRIPE82-0024",0.2767
"WHLJ010455.4+000336",16.22975408677458,0.06026452278344957,"STRIPE82-0024",0.2767
"WHLJ010455.4+000336",16.22697713498536,0.06364312253875201,"STRIPE82-0024",0.2767
"WHLJ010455.4+000336",16.225156209279923,0.06469464693134178,"STRIPE82-0024",0.2767
"WHLJ010455.4+000336",16.227273187365007,0.06696596247237638,"STRIPE82-0024",0.2767
"Z348",16.70551490315278,1.0731507573968286,"STRIPE82-0026",0.2514
"Z348",16.70691130703252,1.0740342788389448,"STRIPE82-0026",0.2514
"Z348",16.703375601354903,1.07094279345504,"STRIPE82-0026",0.2514
"Z348",16.70935655590928,1.0677674980533327,"STRIPE82-0026",0.2514
"Z348",16.718107412558336,1.0719104945243125,"STRIPE82-0026",0.2514
"Z348",16.713042954721345,1.0767402916598299,"STRIPE82-0026",0.2514
"Z348",16.703876049146213,1.066732884170058,"STRIPE82-0026",0.2514
"Z348",16.706465177318837,1.0655376857331522,"STRIPE82-0026",0.2514
"Z348",16.713199587540004,1.0642767782671148,"STRIPE82-0026",0.2514
"Z348",16.713761402228524,1.0689484079020861,"STRIPE82-0026",0.2514
"Z348",16.717239888574554,1.0697913299220447,"STRIPE82-0026",0.2514
"Z348",16.712752928575508,1.0628509768533303,"STRIPE82-0026",0.2514
"Z348",16.710480172620933,1.069727238654427,"STRIPE82-0026",0.2514
"Z348",16.716282272353844,1.075132741027511,"STRIPE82-0026",0.2514
"WHLJ011425+002932",18.601656126311497,0.48657866463200483,"STRIPE82-0028",0.34
"WHLJ011425+002932",18.60807108199901,0.4867260110922795,"STRIPE82-0028",0.34
"WHLJ011425+002932",18.60902146252342,0.48982043354241445,"STRIPE82-0028",0.34
"WHLJ011425+002932",18.6090459983648,0.49154552940296525,"STRIPE82-0028",0.34
"WHLJ011425+002932",18.603403272338063,0.4915700184300799,"STRIPE82-0028",0.34
"WHLJ011425+002932",18.608275310524707,0.49238793458023783,"STRIPE82-0028",0.34
"WHLJ011425+002932",18.60790082935207,0.49373512370974776,"STRIPE82-0028",0.34
"WHLJ011425+002932",18.613237802930684,0.4947403683981405,"STRIPE82-0028",0.34
"WHLJ011425+002932",18.60245234891478,0.4938181372702526,"STRIPE82-0028",0.34
"WHLJ011425+002932",18.60660952896736,0.4924141581839121,"STRIPE82-0028",0.34
"WHLJ011425+002932",18.598870292996885,0.4935704449716803,"STRIPE82-0028",0.34
"WHLJ011425+002932",18.605255009043212,0.4993252842253984,"STRIPE82-0028",0.34
"A0168",18.740486928812846,0.4375640471878422,"STRIPE82-0028",0.045
"A0168",18.739932868502137,0.430799735664897,"STRIPE82-0028",0.045
"MS0116.3-0115",19.72334228034064,-1.0019785128272227,"STRIPE82-0029",0.0452
"WHLJ012023-000444",20.096871146575225,-0.08470767239025666,"STRIPE82-0029",0.078
"WHLJ012023-000444",20.090667988843933,-0.0792014378225342,"STRIPE82-0029",0.078
"WHLJ012023-000444",20.09288344731431,-0.08626421644803497,"STRIPE82-0029",0.078
"WHLJ012023-000444",20.10047376263779,-0.07446751768946193,"STRIPE82-0029",0.078
"WHLJ012023-000444",20.096404633892995,-0.07895065518752903,"STRIPE82-0029",0.078
"ACTCLJ0127.3+0021",21.820793105528697,0.33832544634582035,"STRIPE82-0032",0.409
"ACTCLJ0127.3+0021",21.824233530613245,0.3397400554704282,"STRIPE82-0032",0.409
"ACTCLJ0127.3+0021",21.82098982213525,0.3401429344182461,"STRIPE82-0032",0.409
"ACTCLJ0127.3+0021",21.824037313525515,0.34412221017152367,"STRIPE82-0032",0.409
"ACTCLJ0127.3+0021",21.811396248520133,0.34480575663835744,"STRIPE82-0032",0.409
"ACTCLJ0127.3+0021",21.81957225237792,0.34887802355267206,"STRIPE82-0032",0.409
"ACTCLJ0127.3+0021",21.81912618584211,0.3468472207928441,"STRIPE82-0032",0.409
"ACTCLJ0127.3+0021",21.816788245560012,0.34991505920521887,"STRIPE82-0032",0.409
"ACTCLJ0127.3+0021",21.822291152856163,0.34463276577234436,"STRIPE82-0032",0.409
"ACTCLJ0127.3+0021",21.815412406713513,0.3452156186919936,"STRIPE82-0032",0.409
"ACTCLJ0127.3+0021",21.819460196180945,0.3447186048864209,"STRIPE82-0032",0.409
"CL0141-3034",25.379627387492192,-30.572039544336786,"SPLUS-s24s17",0.442
"CL0141-3034",25.387010767133464,-30.572651278963765,"SPLUS-s24s17",0.442
"CL0141-3034",25.388398169343986,-30.574418134100437,"SPLUS-s24s17",0.442
"CL0141-3034",25.38506603999591,-30.575658728769305,"SPLUS-s24s17",0.442
"CL0141-3034",25.384700792797585,-30.576455916379828,"SPLUS-s24s17",0.442
"CL0141-3034",25.380639311914507,-30.575985799991486,"SPLUS-s24s17",0.442
"CL0141-3034",25.377173599834112,-30.57675465596223,"SPLUS-s24s17",0.442
"CL0141-3034",25.387835683938555,-30.57680786846664,"SPLUS-s24s17",0.442
