name,clsid,z_cluster,R200_Mpc,peak_spec_m,peak_spec_m_density,peak_photo_m,peak_photo_m_density,z_offset_m,peak_spec_mi,peak_spec_mi_density,peak_photo_mi,peak_photo_mi_density,z_offset_mi,rmse_base_m,rmse_base_mi,rmse_om_m,rmse_om_mi,rel_om_m,rel_om_mi,rmse_omi_m,rmse_omi_mi,rel_omi_m,rel_omi_mi
A119,40,0.0442,1.705662,0.0439371377236181,101.10717294247031,0.045356373216080395,25.500437756581466,0.001419235492462298,0.04390929314572864,83.92343490554268,0.045929647557788944,32.401711622393215,0.0020203544120603045,0.009880617318658556,0.009560798477923042,0.00952883719587318,0.009349427962055045,-0.035603051048346296,-0.02210804007176543,0.009440405872241792,0.009323803677902007,-0.044553030667979505,-0.024788180670085477
NGC1132,41,0.023348,0.486982,0.02359276094472362,28.95244530891523,0.02832109619095477,2.8750448919745812,0.00472833524623115,0.02376202649748744,11.93811190396796,0.02767080339698492,7.321411683894217,0.003908776899497483,0.00966551565562008,0.009381222929664913,0.0070835801497233725,0.00881566442693834,-0.2671285835014321,-0.06028622355174903,0.007380330007249509,0.008734773549699168,-0.23642666669748078,-0.0689088602640035
A463,42,0.040085,1.276409,0.039276698492462306,19.68482662797225,0.04140211390954774,9.168419539584603,0.002125415417085434,0.04091437185929648,16.02763069777464,0.041863092150753775,10.540072928767222,0.0009487202914572959,0.0045466045607613975,0.005846949161478337,0.004734916833291393,0.0062813916441463,0.04141822100720801,0.07430242177069298,0.004509482644278618,0.005951672850720037,-0.008164755915470027,0.017910826030719446
A3122,43,0.0643,1.461581,0.06326922110552764,19.168665921680965,0.06055184391959799,8.481550316454173,-0.0027173771859296536,0.06346402512562814,18.15058682398948,0.06078546102512562,12.876248220823083,-0.0026785641005025174,0.0079036198910448,0.006946392535154447,0.0072052006262941625,0.00655791534783517,-0.08836701086067932,-0.05592502660240748,0.007208444642307804,0.006555701500216532,-0.08795656399476703,-0.05624373125484884
A3135,44,0.0642,1.426049,0.06290130150753769,29.78568406093417,0.06153553093467337,8.76037142170469,-0.0013657705728643138,0.06285959798994975,21.02552098716481,0.061480257829145735,10.910457453045268,-0.0013793401608040157,0.00923463400045154,0.01008872899273912,0.008865967482465036,0.009734422618936702,-0.03992215803771736,-0.03511902976652592,0.0088632835991839,0.009731799384356307,-0.04021279037690962,-0.0353790461256018
Fornax,45,0.0046,0.632652,0.004421763819095478,35.03514468964611,0.010933852864321608,6.798151673330626,0.0065120890452261306,0.004879879396984924,15.11630533302,0.012291662090452259,10.278445513565332,0.007411782693467334,0.010539740721244369,0.00884336067285238,0.006800042605924337,0.007004827234834581,-0.3548187962330165,-0.2078998591182405,0.006629480855450452,0.007190993404494652,-0.37100152358702937,-0.18684834074790316
MCXCJ0340-4542,46,0.068939,0.71511,0.06870042211055276,4.043163454188919,0.0724494901005025,0.6444313527972337,0.003749067989949742,0.06869208542713567,7.819672079938246,0.06371367100502513,1.8870537225768083,-0.004978414422110541,0.008456117902170313,0.008473529832198044,0.009936397214243269,0.010104523164317,0.17505424228924632,0.1924809807031593,0.008877008130878054,0.008661018408980222,0.04977345793626132,0.022126384221809497
A3158,47,0.059279,1.988828,0.05829322613065326,32.8000955113459,0.06066424136683417,19.885729344867446,0.0023710152361809053,0.05968427135678392,87.78156830938426,0.060586608201005025,56.672060808451384,0.0009023368442211063,0.008780986484801525,0.009125313332666623,0.009362178959218448,0.00968600850899421,0.06618760607625059,0.06144393686958912,0.008932718772007688,0.00927146857586437,0.017279640216823867,0.016016462982651036
A3223,48,0.059778,1.193746,0.059610050251256284,30.617438988702055,0.059833557165829145,9.428222891122385,0.0002235069145728602,0.059776844221105525,22.0893710232835,0.05982340337688442,10.794801501295527,4.655915577889136e-05,0.006664190148006483,0.006817318640815035,0.006704351153895985,0.0068765280291856745,0.00602638955335265,0.00868514316114773,0.006671958724939022,0.006829091822069879,0.0011657195788242869,0.0017269518816912138
A3112,50,0.073973,0.820878,0.07518731658291457,15.365658061185814,0.07074136120603015,1.9326620229318137,-0.004445955376884414,0.07518556281407035,8.57033258323835,0.0666648559798995,3.877803620191194,-0.008520706834170846,0.010493714995846969,0.009144610054373645,0.010724636646611404,0.009436511580508143,0.0220057101661162,0.03192060945178174,0.01241886774132445,0.011346299825442215,0.18345769312768517,0.24076365837114672
