name,clsid,z_cluster,R200_Mpc,peak_spec_m,peak_spec_m_density,peak_photo_m,peak_photo_m_density,z_offset_m,peak_spec_mi,peak_spec_mi_density,peak_photo_mi,peak_photo_mi_density,z_offset_mi,rmse_base_m,rmse_base_mi,rmse_om_m,rmse_om_mi,rel_om_m,rel_om_mi,rmse_omi_m,rmse_omi_mi,rel_omi_m,rel_omi_mi,ra,dec
A3880,5,0.058324,0.891655,0.0579746733668341,27.790148624259192,0.0530083067537688,2.723086767369279,-0.0049663666130653,0.0579672361809045,17.01021863930802,0.0524237512663316,3.953768720143378,-0.0055434849145728,0.0137159717309804,0.0129280028066579,0.0124128840657764,0.0114593852002599,-0.0950051291124135,-0.1135997283077304,0.0123823404936787,0.0114173015551648,-0.0972319908103481,-0.1168549600495969,0,0
A2457,10,0.058425,1.298186,0.0590312060301507,19.293312965964148,0.0595847570100502,5.082286548633702,0.0005535509798995,0.0593523919597989,15.937332896498791,0.0592613037688442,7.410867431090223,-9.108819095476894e-05,0.0086923834757937,0.0093419870568115,0.0086729435763216,0.0093702323232056,-0.0022364291136328,0.003023475222376,0.0086989539123935,0.0093404748269181,0.0007558843461118,-0.0001618745438478,0,0
A970,51,0.059443,1.550335,0.0590030552763819,20.41409905068573,0.0599014466080402,7.10377950156571,0.0008983913316582,0.0585331758793969,19.33825036714076,0.0585215881909547,9.268417022072876,-1.15876884422203e-05,0.0086510469204906,0.0086331281188552,0.0088870593830498,0.0088560642738706,0.0272813758529148,0.0258233344792476,0.0086485703286607,0.0086308258981089,-0.0002862765458004,-0.0002666728345308,0,0
A3158,47,0.0597,2.054871,0.0576551959798995,15.603216161981376,0.0606642413668341,9.387113851660326,0.0030090453869346,0.0596181909547738,61.01947343844738,0.0604354433668341,38.095147668171485,0.0008172524120603,0.0082698999261497,0.0086085662310457,0.0091124509885571,0.0092719609610143,0.1018816515231588,0.0770621625208786,0.0084010534126661,0.0086912499234557,0.0158591382831212,0.0096048157371184,0,0
A3128,9,0.059857,1.649192,0.0601704020100502,68.10303246147836,0.0601908510301507,25.174713611081486,2.0449020100503368e-05,0.0600591155778894,58.79782035179215,0.060329299040201,31.71642877250656,0.0002701834623115,0.0082786916306806,0.0083843219595744,0.0082784081109625,0.0083853775478479,-3.424692338637942e-05,0.0001259002550872,0.0082790208410008,0.0084022744448294,3.976598415789617e-05,0.0021411970272032,0,0
A3223,48,0.060025,1.041907,0.0594551909547738,16.38620830784693,0.0595180993517587,6.032085571459136,6.290839698492451e-05,0.0597748592964824,12.005058115995066,0.0594371868643216,6.864498840361087,-0.0003376724321608,0.0047689940216496,0.0059235245707275,0.0047786651850181,0.0059399052765253,0.0020279252447367,0.0027653647085035,0.0047310604880064,0.0058463919669351,-0.0079542002927666,-0.013021403536257,0,0
CODEX-59603,86,0.0616,0.433828,0.0611683718592964,14.315008788139574,0.0613196596482412,1.659285972874322,0.0001512877889447,0.0613850150753768,3.9302191179591,0.0617159267839196,2.079100190670952,0.0003309117085427,0.0080084020910856,0.0085630148397898,0.0079542063405882,0.008561426902786,-0.0067673613138972,-0.0001854413467091,0.0078931425153434,0.0085630125882421,-0.0143923312579975,-2.62938657215552e-07,0,0
A2734,15,0.061662,1.180926,0.0622587437185929,21.04084331408432,0.0607675094472361,6.133321263450662,-0.0014912342713567,0.0617876733668341,21.38396076490733,0.0604764624120603,9.87071391888915,-0.0013112109547738,0.0093293048260431,0.0101349656743649,0.0090713222863236,0.0098345747975815,-0.0276529221126242,-0.0296390620782539,0.0090898793739126,0.0098593599271665,-0.0256638041735113,-0.0271935550700052,0,0
A3135,44,0.061788,0.832733,0.0625681356783919,10.311410963093506,0.0607312093718592,2.5010269338112114,-0.0018369263065326,0.0627894221105527,7.483201346484847,0.0615078455276381,4.194288274383507,-0.0012815765829145,0.0076647649691921,0.0080172235658846,0.0074413234186418,0.0078311963575929,-0.0291517810981002,-0.0232034452779023,0.0074620385148809,0.0078426552012531,-0.0264491416404896,-0.0217741669789992,0,0
A3809,22,0.062501,1.117396,0.0621724673366834,36.90801803436424,0.0602095142361809,10.081437533924603,-0.0019629531005025,0.0623865628140703,27.518123159717216,0.0602475627135678,11.704198218535147,-0.0021390001005025,0.0094538306469497,0.0108794439901463,0.0095547101668911,0.0108506772982925,0.0106707559833404,-0.002644132538382,0.0095833724738582,0.0108654360289724,0.0137025753629582,-0.0012875622308109,0,0
A3122,43,0.064359,1.259417,0.0635240854271356,7.417373040543663,0.0606595222110552,2.6520120447051485,-0.0028645632160804,0.0636675326633165,6.822811557838105,0.0604656958793969,4.727553074124691,-0.0032018367839195,0.0079269352413187,0.0070251684527994,0.0074389300271826,0.006905555830399,-0.0615629116776843,-0.0170262995405882,0.0074521599112326,0.0069692472523615,-0.0598939332330305,-0.0079601223534538,0,0
A1069,23,0.065,1.331005,0.0651682412060301,11.944764830147832,0.0599202116080402,3.3759032100036084,-0.0052480295979899,0.065326336683417,11.986567285112097,0.0593606785477386,6.339646882888158,-0.0059656581356783,0.0108098249803281,0.0103917832928984,0.0105270328615174,0.0106850779155265,-0.0261606565624606,0.0282237046675641,0.010689923182333,0.0109223313276446,-0.0110919277798973,0.0510545706922833,0,0
MCXCJ0340-4542,46,0.068939,0.731986,0.0701058492462311,3.5848952785895625,0.0735303033165829,0.4985812560041792,0.0034244540703517,0.0693311055276382,4.485477594773765,0.0719436969346733,1.1839218476536058,0.0026125914070351,0.0094362664999199,0.0091392561684938,0.0101438136759587,0.0103545397290173,0.074981686458811,0.1329740121206936,0.0098737759899942,0.0099739126763093,0.0463646814211935,0.0913265250943268,0,0
A3112,50,0.073605,0.832698,0.0758389396984924,5.326756379672822,0.0688455545829145,1.2645928312440091,-0.0069933851155778,0.0757040150753768,4.069736572097505,0.0669729279195979,2.152482276351335,-0.0087310871557789,0.0089510405513666,0.007889213732946,0.0084808318389009,0.008891363785096,-0.0525311788911352,0.1270278745225168,0.0092227901248843,0.009920027539924,0.0303595511558948,0.257416502546656,0,0
WHLJ012023-000444,39,0.078,0.659785,0.0773724422110552,29.0333648892554,0.0791312696984924,2.0955848919873943,0.0017588274874371,0.0776097788944723,7.761837204128623,0.079887806080402,2.47994608539263,0.0022780271859296,0.010829797581678,0.0121507035860025,0.011120085236596,0.0124444940642417,0.0268045319156326,0.0241788861163272,0.0112569966590822,0.0125770117526956,0.0394466354686903,0.035085060192246,0,0
MCXCJ1326.2+0013,89,0.0826,0.657249,0.0828291306532663,6.85536366024592,0.0857698663316583,1.147759713796625,0.0029407356783919,0.0824039095477387,5.219549121091835,0.0867588981809045,2.0507365197163714,0.0043549886331658,0.0124412523571953,0.011315057906674,0.0105593358675122,0.0098999815962413,-0.1512642325428486,-0.1250613405697215,0.0098408333418456,0.0094726499808346,-0.2090158563374649,-0.1628279714549816,0,0
A2440,26,0.090141,1.619631,0.0894818090452261,11.192759105164644,0.1099347765326633,2.51325887591229,0.0204529674874371,0.0906086582914572,10.43657055233934,0.1125972726130653,4.852967189698244,0.021988614321608,0.0170986824610875,0.0163541115401052,0.016256922247535,0.0153316820341509,-0.0492295365720752,-0.0625181932657724,0.0172030858265263,0.0163216062699639,0.006105930423377,-0.0019875900969406,0,0
A954,19,0.091551,0.657729,0.0924129296482412,4.233152648329835,0.0967328465829145,0.5103607818573094,0.0043199169346733,0.0948469346733668,4.558977859255898,0.0989566229145728,1.4551498469533724,0.004109688241206,0.0138447055260551,0.0135292305912316,0.0109323655377931,0.0129788152332668,-0.2103576694196303,-0.0406834190793917,0.0110527947112059,0.0129728837888194,-0.2016590970169055,-0.041121836061595,0,0
[YMV2007]1540,95,0.0941,0.615438,0.0934314170854271,5.084321178757982,0.0990416372361809,0.3128368383129601,0.0056102201507537,0.0934941356783919,3.012094539055641,0.0944215984924623,1.0043255506127762,0.0009274628140703,0.0158146587858633,0.0155437459687904,0.015913943513621,0.015619514118339,0.0062780189634233,0.0048745102821912,0.0156933464899706,0.0154160727242701,-0.00767087659211,-0.0082138015364273,0,0
